state_name,state_abb,biden_pct,trump_pct,n,abortion_most_time,abortion_never_legal,cap_carbon,gov_health_subsidies,guns_assault,guns_bg,legal_marijuana,minimum_wage_15d,paid_maternity_12wk,path_to_citizenship_dreamers,raise_taxes_600k,state_college
Missouri,MO,0.414087817,0.567996558,4607885.999999996,0.4805537659114419,0.7597777929234681,0.488875694463907,0.5885150339397487,0.48262462916130333,0.8090431906932597,0.5901867446873263,0.5171018436990118,0.6644837028663637,0.6430170659987157,0.5890050969795174,0.49762320841165686
Montana,MT,0.405493694,0.569184692,811971.0000000008,0.46751095774644713,0.7793298452145967,0.49898166653675885,0.600414932988392,0.45015518084584866,0.7678493877352669,0.6158554693449884,0.5465916629448367,0.7482557267427037,0.637069151401221,0.6299207351501629,0.48112295451285125
Nebraska,NE,0.393588607,0.585099274,1364618.0000000007,0.457783568506882,0.7074620704553658,0.5477504800316919,0.5691149185479295,0.47272519089457854,0.8401665313256403,0.5317316553811661,0.5045390323440166,0.711657093205611,0.6665894016753946,0.6307303994425559,0.4686580601192199
Nevada,NV,0.50056782,0.476662473,2015615.0000000044,0.5094188862824713,0.816932663363758,0.5384754231062333,0.6093390198578319,0.5175865609756061,0.8368871608492692,0.6666299948054573,0.5991676990904466,0.6653782357118668,0.6650056060918028,0.5754376765278314,0.5503122396968819
New Hampshire,NH,0.527078253,0.453562595,1056112.000000001,0.6159791976102481,0.8211086270114507,0.6608056585996037,0.601207030724712,0.6018759238328178,0.8751592405010531,0.6026568117160653,0.6353886000020131,0.6835465607751502,0.675544587619608,0.6983962444533449,0.5074987198127935
New Jersey,NJ,0.573341968,0.413965239,6134935.999999993,0.5752379326844379,0.8260184183656714,0.6269562426133262,0.628652169449328,0.626321254417573,0.8639614153306187,0.5803813183878089,0.6910329949892388,0.6996730566631413,0.6800405839865762,0.62817025746938715,0.5578955145907888
New Mexico,NM,0.542892859,0.434966693,1495756.0000000023,0.5325004100786083,0.7539656218922377,0.531017974112728,0.6317033306406937,0.4814465497409549,0.7939089675986816,0.6264183540273041,0.5832054260228959,0.6820940226610119,0.6833483499303842,0.6428972728559568,0.5885705204953084
New York,NY,0.608745946,0.377429647,13712733.000000015,0.5870380369350926,0.781966514181311,0.6118591087926963,0.6480248984704896,0.6229464157257643,0.819814598968671,0.5215480893914312,0.6786317334195394,0.7050951941746986,0.6680212267981255,0.6014932284403527,0.6091362722570465
North Carolina,NC,0.485861942,0.499343506,7520904.000000001,0.5015455493324424,0.7644381188691561,0.5271561303043122,0.5993598429408203,0.503746193332413,0.8102271287541405,0.5406983312622563,0.5778437829987357,0.6531200589538143,0.6535309800017114,0.6067504743748837,0.5232352100257812
North Dakota,ND,0.317567624,0.651140487,566664,0.4564262218444378,0.7963748178318685,0.4794425723905523,0.571000769607606,0.42395694488241087,0.7819373050102585,0.5824604492067723,0.5460458048053322,0.744925417628387,0.6267475670697298,0.5851841823467002,0.5001300402495634
Ohio,OH,0.452393383,0.532713001,8824841.999999993,0.48538997671171635,0.7875656532391452,0.5194413241174946,0.5938378143222202,0.5055412724913458,0.8207882744961255,0.553438076144395,0.5435769466303427,0.6141550647153007,0.6512948222541571,0.6134011153171227,0.5097643150089991
Oklahoma,OK,0.322861743,0.653732719,2839694.999999996,0.44047127770482286,0.7518546647524186,0.4687261344920195,0.6037266018724103,0.42939175891374,0.7700558640753348,0.4888385978284134,0.516301441906516,0.6537256904598999,0.6300367889736185,0.5782060413381673,0.5424947787817571
Oregon,OR,0.564533187,0.403672461,3057702.9999999986,0.6057567484423516,0.8377051017687176,0.5975448309624266,0.6798799970556819,0.5347218331412382,0.8355691050216432,0.6610824660352126,0.626832740986755,0.6795306002159697,0.7224660413406413,0.679545287755919,0.589389527695827
Pennsylvania,PA,0.500163569,0.488358868,9766968.999999994,0.5003652032152448,0.8006088812739278,0.5340729264727216,0.6465861287967479,0.5516635190830893,0.8326283619515183,0.5660584679536971,0.5612402345919236,0.7005280430487804,0.6563423274020376,0.6539628320171591,0.53043676974001
Rhode Island,RI,0.593880913,0.386130946,793761.0000000015,0.6137914274381869,0.8458092562860104,0.6191686867862838,0.6221758663136003,0.615763574927145,0.857395589248302,0.5377300868920682,0.6844872291867515,0.6088881658798725,0.6767661183394866,0.6623764061337623,0.598102709374277
South Carolina,SC,0.434300881,0.55110294,3786049.9999999963,0.4523500860702223,0.7439036525732676,0.4903028163438295,0.6134522729731899,0.48055318612494413,0.8164079814701785,0.5674270654294286,0.5393540658937682,0.667032383377122,0.6654898832806131,0.5790546765756345,0.5371019198118531
South Dakota,SD,0.356052521,0.617693897,640034.0000000002,0.4470606189932404,0.7943296398084791,0.4712176662061631,0.5688967796104384,0.44684356827993144,0.7536144384844149,0.6102784396765831,0.544280430715999,0.7425777840108495,0.6417245182568806,0.5987069692052543,0.4739212950241757
Tennessee,TN,0.374514343,0.606602942,5016691.000000007,0.40504307703291365,0.7443528017334191,0.45820278689557165,0.5960883032924066,0.45429942125479605,0.7875834131226067,0.5509835608271763,0.5742348338501144,0.6098840241103093,0.6140697380015689,0.5439107548070645,0.5462335559081494
Texas,TX,0.464790099,0.520576036,18184979.999999978,0.4807105481576159,0.7371136331598258,0.5061312417159931,0.5846493845413278,0.45993225286445133,0.8069768014015746,0.5399411840781256,0.6100064596214928,0.6082675826589505,0.651591213912437,0.5598349397418296,0.5378706817026724
Utah,UT,0.376460486,0.58129839,2031666.999999993,0.45307922552077207,0.8440872475824824,0.47298758140823105,0.5886525768542531,0.4787530176768219,0.8253806640442849,0.5187765614605789,0.5150293858829939,0.6729483573719499,0.7345761480672535,0.5623249215745635,0.4722376441824277
Vermont,VT,0.660864169,0.306737647,497456.00000000023,0.6062004664627506,0.8500030395075786,0.6201544360829528,0.6673090082894024,0.631802618354545,0.8298337358220017,0.6598633588507126,0.658370573426058,0.7089041856730021,0.7062673148128285,0.7527273661032997,0.5510578667559818
Virginia,VA,0.541095172,0.439955037,6143391.000000012,0.5453186119016294,0.8113696761522069,0.5636757285820436,0.6380871013996182,0.5115790831002673,0.8144335724883712,0.6225533973990963,0.6086943666910806,0.6830523490876695,0.6810111514853735,0.5938981554361933,0.5328840209065038
Washington,WA,0.579703011,0.387669777,5256428.000000001,0.6119663090017832,0.8125818683265427,0.6516225958132165,0.6716930337107748,0.5557012376528462,0.8458485793142684,0.6649817668399425,0.6745499678840313,0.7010406791227698,0.7300384522937884,0.657083964486394,0.5768503419621488
West Virginia,WV,0.296965212,0.686315519,1434400.9999999984,0.4057849829772876,0.748192490515512,0.4276447789456875,0.6124652582566623,0.4063427090684377,0.7864524793621196,0.5620927473009942,0.5907810676189206,0.6860000669168125,0.5907775390685628,0.6134415450777012,0.5230283004379574
Wisconsin,WI,0.494495369,0.488224373,4368185.000000002,0.5235725624956328,0.7970511294798667,0.5606763587934498,0.575292991924608,0.5148531840019389,0.8368145528273485,0.5837346153436945,0.5703193922825086,0.6463602240688107,0.6673981623185536,0.6777771974307032,0.4718049780325501
Wyoming,WY,0.265535743,0.699362275,433871.9999999994,0.4745682707831347,0.7900543506582738,0.4531986499758423,0.5756441205517029,0.39881253611462014,0.758593911334735,0.5847578366680237,0.5415402006918509,0.7526405587354508,0.5936545318070826,0.5828405584425643,0.46640558396221005
